code,name
795736,Абаевский
423805,Адабаш
663927,Акбобек
649101,Алань (эксп.)
485002,Асланово
563216,Ахалкалаки- Пассажирская
104106,"Балтийск (паром, эксп.)"
663912,Бастау
578006,Батуми (паромная- эксп. на Керчь)
382906,Бескит
630340,Бессоновка
664533,Бестортколь
114517,Блокпост 387 км
110639,Блокпост 401 км
262723,Боголюбово
664600,Болашак
664703,Болашак (эксп.)
983302,Большой Камень (перев.)
664506,Бопай
575209,Броцеула
388004,Букачевцы
293365,Бурачиха
747200,Бурёбоф
747107,Бурёбоф (эксп.)
645702,Верхняя Терраса (эксп.)
612605,Волжский (перев.)
498106,Волчеярская
452066,Вольное (рзд)
269120,Ворсма
612304,ГНИЛОАКСАЙСКАЯ
428601,Грабаровка
676109,Дария
926507,Диабазовый (рзд)
102219,Долгоруково-Западное
387204,Дубовцы
387909,Езуполь
687300,Зерновая
367713,Ивановцы-Черновицкие
251630,Илеть
419208,Ильичевск-Паромная (прочий эксп. Турция)
419706,Ильичевск-Паромная (прочий эксп.)
941812,Ингода
384526,Иршава (узк.)
420101,Искренное
747408,Истиклол (эксп.)
528801,Кавказ (паром эксп. на Самсун)
100302,Калининград-Сортировочный (перев.)
623205,Камышин (перев.)
623101,Камышин (эксп.)
979608,Камышовая (до Бп 207)
979504,Камышовая (эксп.) (до Бп 207)
549702,Карадаг (терминал)
679018,Караоба
740201,Кармана (эксп.)
602,Карья
479800,Керчь-Порт-Паром (эксп. на Батуми)
479707,Керчь-Порт-Паром (эксп. на Поти)
383307,Ключарки (эксп.)
16901,Кола (перев.)
396754,Колибаш
540322,Консервный
417607,Котлярово
772058,Крутая
664525,Курмаш
684232,Кызылсай рзд
549505,Леджет
927904,Лена-Восточная (перев.)
27234,Лендеры
683314,Лисаковск
76601,ЛУЖСКАЯ (ПАРОМ)
76809,"Лужская (паром, эксп. в порты третьих стр.)"
76705,"Лужская (паром, эксп.)"
352008,Любомль (эксп.)
71716,Лямцево
925311,Мамырь
615389,Мариновка
389905,Марковцы
549609,Маштаги
632558,Морсово
196127,Москва-Рижская
851620,Мочище
380807,Мукачево (эксп.)
338903,Наказной Пост (рзд)
512303,НЕСВЕТАЙ
286111,Нибель
619708,Новолесная (перев.)
424901,Овидиополь
286226,Омра
417128,Оп 51 км
997911,Оп 572
994133,Оп 93
997714,Оп Адо-Тымово
709162,Оп Аиртау
991262,Оп Березняки-Сахалинские
861035,Оп Бормотово
139618,Оп Буды
147328,Оп Бумажково
709143,Оп Бурсак
191119,ОП Бутово
392058,ОП Бучумень
175313,Оп Василисино
620851,Оп Власовский
232323,ОП Воймежный
995441,Оп Восточный-Сахалинский
995812,Оп Гастелло
170630,Оп Глинка
412124,Оп Глиняная
740625,Оп Гульбах
206348,Оп Деревеньки
709158,Оп Екаша
349556,Оп Жерев
220913,Оп Задубровье
237223,Оп Карабаново
224929,ОП Караси
741721,ОП Кугай
572395,Оп Лия
227293,Оп Львово
141942,Оп Нарцизово
995626,Оп Новое
49816,Оп Орзега
238527,Оп Орудьево
480920,Оп Острый
201611,Оп Паниковка
403924,Оп Парижская
709124,Оп Сарыжал
72530,Оп Суйда
709177,Оп Улан
992439,Оп Фирсово
995117,Оп Цапко
572696,Оп Цацхви
709139,Оп Шалабай
164018,Оп Шипы
408364,Оп Щербаково (узк.)
206948,Оп Юсупово
570101,Орпири
220222,Павловский Пост (п)
745811,Пахтаабад
422802,Перегоновка
26903,Петрогранит
396773,Пл 44 км
775802,ПОКРОВСК-УРАЛЬСКИЙ
613504,Порт Оля (перев.)
112719,Пост-Клеперово
576409,Поти (паромная-эксп. на Керчь)
956201,Поярково (эксп.)
619801,Правый Берег (перев.)
208019,Разъезд 454 км
726810,Разъезд №  9
127907,Рокишкис (эксп.)
985007,Рыбники (перев.)
576199,Салиети
68412,Скакулино
90702,СКУЛТЕ
968904,Советская Гавань-Город (перев.)
155714,Сож
176053,Сошно
863702,СПИЧЕНКОВО
516906,Староминская-Ейская (перев.)
383909,Страбичево (эксп.)
172527,Струково
621318,Суворовский
240546,Судогда
549401,Сураханы
988202,Сухановка (перев.)
445503,Сыроватка
422709,Таганча
664510,Тайгыр
630957,Танеевка
683117,Тарановская
562514,Телави (эксп.)
524809,Темрюк (перев.)
285392,Тобысь
411206,Треповка
617100,Трусово (перев.)
693509,Тургай
650407,Тюльма
670704,Урдазы (рзд)
997517,Усково
408665,Устье (узк.)
75100,Усть-Луга (перев.)
392912,Хилиуць
295202,ХОЛМОГОРСКАЯ
794803,Храмцовская
563803,Цхра-Дзма (рзд)
423203,Цыбулево
577308,Чаладиди
577401,Чаладиди (эксп.)
342805,Чернорудка
726401,Чимкурган
127822,Шапяляй (рзд)
187221,Шлипово
293721,Шожма
297421,Юра (рзд)
870602,ЮРГА 2
375103,Яблонка
994148,Яблочная
541202,Яндыки (перев.)
568101,Абовян
566407,Агин
569405,Айгеван
564702,Айрум
569706,Айрум (эксп.)
564903,Алаверди
566500,Ани
567908,Арабкир
566604,Арагац
566905,Аракс
569509,Арарат
568205,Аревик
567005,Армавир
569301,Арташат
566106,Артик
565315,Арчут (рзд)
567109,Аршалуйс
564806,Ахтала
565902,Ахурян
566002,Ахурян (эксп.)
567503,Баяндур
565300,Ванадзор
569104,Варденис
565809,Гюмри
566801,Даларик
565601,Джаджур
568605,Дилижан
569602,Ерасх
569903,Ерасх (эксп.)
567804,Ереван
569208,Зод
568703,Иджеван
569800,Иджеван (эксп.)
565508,Калтахчи
568008,Канакер
566708,Каракерт
567607,Кармир-Блур
565103,Кобер
565705,Маисян (рзд)
566303,Маралик
567400,Масис
568506,Меградзор
567414,Мхчян (рзд)
563108,Налбанд
565404,Налбанд
567433,Норагавит
567749,Нор-Ачин (рзд)
568116,Нурнус (рзд)
565245,Памбак
566204,Пемзашен
567429,Пост 2865 км
568402,Раздан
567734,Разъезд  9 км
565009,Санаин
568900,Севан
567202,Советакан
567700,Спандарян
565207,Туманян
568807,Цахкунк
568309,Чаренцаван
565230,Шагалы
569000,Шоржа
567306,Эчмиадзин
350089,35008
546418,54641
850191,85019
551168,Агбент
555506,Агдам
551505,Акара
557200,Акстафа
556602,Алабашлы
552705,Али-Байрамлы
554927,Аликент
548502,Алят
548703,Алят-Новая
557304,Аскеран
554109,Астара
554503,Астара (эксп.)
548907,Атбулак
547567,Баглар
547069,Бакиханов
547112,Баку-Пассажирская
547105,Баку-Товарная
547603,Баку-Товарная (на терминал)
549204,Баку-Товарная-Паром
547302,Баку-Торговая Пристань
547209,Баку-Торговая Пристань (перев.)
547406,Баку-Торговая Пристань (эксп.)
546808,Баладжары
554804,Баргушеты
555309,Барда
551308,Бартаз (рзд)
557501,Бархударлы
557709,Бархударлы (эксп.)
550700,Башбаши
556316,Баян
559704,Белоканы
558631,Беюк-Кясик
558701,Беюк-Кясик (эксп.)
546545,Бильгя
547707,Бина
552103,Ватаги
546302,Гаджи Зейналабдин
554202,Гаджигабул
550822,Гара Борк
554310,Гарасу
554402,Гейлярчель
553801,Гейшабан
555900,Геран
545701,Гильгиль-Чай
548409,Гобустан
547800,Говсан
551806,Горадиз
546600,Гюздек
556208,Гянджа
556246,Гянджачай
556000,Далимамедлы
551906,Дашбурун
553303,Джалилабад
550004,Джульфа
550108,Джульфа (эксп.)
556903,Дзегам
545608,Дивичи
556803,Долляр
547904,Дюбенды (рзд)
555101,Евлах
547726,Ени-Сураханы (рзд)
547529,Забрат II (рзд)
556104,Зазалы
559600,Закаталы
545913,Зорат
552207,Имишли
557408,Казах
553500,Казумлы
547675,Кала
554005,Камышевка
548201,Карадаг
551007,Карчивань
551401,Кафан
559507,Кахи
545805,Кизил-Бурун
546009,Килязи
547001,Кишлы
557003,Ковляр
545203,Кусар-Чай
556301,Кущинский Мост
556405,Кызылджа
556509,Кырыхлы
554607,Кюрдамир
557605,Кюрок-Чай
555205,Кючарли
545010,Леджет
553905,Ленкорань
553604,Лиман
555008,Ляки
553407,Масаллы
551702,Махмудлы
551100,Мегри
555703,Мингечаур
555807,Мингечаур-Город
551204,Минджевань
554306,Муган
552601,Мюрсалы
554700,Мюсюсли
549007,Наваги
550803,Нахичевань
553207,Нефтечала
550907,Ордубад
552620,Османлы-Новые
554325,Падар
547919,Пираллах
549100,Пирсогат
546507,Пиршаги (рзд)
558400,Пойлы
548108,Пута
552300,Саатлы
552508,Сабир
555146,Сабухи (рзд)
554336,Сагири
558504,Салахлы
553106,Сальяны
548305,Сангачалы
548606,Сангачалы (перев.)
552404,Сараджаляр
545504,Сарван
545909,Сиазань
546102,Ситал-Чай
558608,Союк-Булак
552902,Султанлы
546403,Сумгаит
546441,Сумгаит-Город
546456,Сумгаит-Новый (рзд)
555402,Тазакенд (рзд)
557126,Татлу
557107,Тауз
554908,Уджары
551609,Халафли (рзд)
552001,Халач
559300,Ханабад
555608,Ханкенди
545307,Хачмас
545107,Худат
546704,Хырдалан
545400,Чархи
556706,Шамкир
550502,Шарур
550409,Шарур (эксп.)
550606,Шахтахты
559403,Шеки
546901,Ширван
548004,Эйбат
545006,Ялама
547508,Ялама (эксп.)
546206,Яшма
903115,90311
903127,90312
904349,90434
904353,90435
904387,90438
904423,90442
904546,90454
904550,90455
905712,90571
905746,90574
906019,90601
906518,90651
906522,90652
906537,90653
906541,90654
920303,92030
923138,92313
923227,92322
924610,92461
924910,92491
925129,92512
925824,92582
926225,92622
930413,93041
936026,93602
936068,93606
936087,93608
922205,Азей
920040,Акульшет
920820,Алгашет
920708,Алзамай
903929,Ангаракан (рзд)
932029,Ангарск
933200,Ангасолка
903505,Ангоя
933144,АНДРИАНОВСКАЯ
924906,Анзеби
924501,Багульная
933604,Байкал
933708,Байкал (перев.)
933801,Байкальск
920407,Байроновка
936301,Бараты
932601,Батарейная
931609,Белая
920106,Бирюсинск
933002,Большой Луг
934659,БОЯРСКИЙ
924605,Братск
921700,Будагово
925400,Видим
924408,Вихоревка
932705,Военный Городок
934005,Выдрино
935987,Ганзурино
925100,Гидростроитель
933125,ГЛУБОКАЯ
930521,Головинская
932902,Гончарово
932616,ГОРКА
938203,Горхон
905727,Горячий Ключ (рзд)
931312,Гришево
936405,Гусиное Озеро
903187,Дабан
